"","Treatment","Dose","Time","Gene","Biol_Rep_1","Biol_Rep_2","Avg_expression","se_expression"
"1","L","high","2","Cxcl1","  69.3699848","  60.0213563","  64.6956706","  4.67431422"
"2","S","low","6","Cxcl1","   0.8432788","   1.0120285","   0.9276536","  0.08437485"
"3","LS","low","6","Cxcl1","   1.2135496","   1.6248228","   1.4191862","  0.20563655"
"4","L","med","2","Cxcl1","  15.5955363","  32.6404998","  24.1180181","  8.52248175"
"5","L","high","6","Cxcl1","  10.7924309","  14.4571888","  12.6248099","  1.83237892"
"6","LS","med","6","Cxcl1","   2.4031908","   3.3243899","   2.8637904","  0.46059955"
"7","L","low","2","Cxcl1","   1.9120241","   6.1025750","   4.0072996","  2.09527546"
"8","L","med","6","Cxcl1","   3.0644345","   2.8769268","   2.9706806","  0.09375388"
"9","S","med","2","Cxcl1","   0.8296722","   0.8630827","   0.8463775","  0.01670523"
"10","S","high","2","Cxcl1","   0.8528180","   0.6261246","   0.7394713","  0.11334669"
"11","L","low","6","Cxcl1","   2.1342890","   1.5399975","   1.8371432","  0.29714575"
"12","S","high","6","Cxcl1","   0.5941158","   0.7315281","   0.6628219","  0.06870618"
"13","LS","med","2","Cxcl1","  20.7365136","   8.2519599","  14.4942368","  6.24227685"
"14","LS","high","6","Cxcl1","   7.7382748","   5.4375419","   6.5879083","  1.15036646"
"15","LS","high","2","Cxcl1","  60.4149099","  79.7796681","  70.0972890","  9.68237910"
"16","S","med","6","Cxcl1","   0.6810867","   0.5558476","   0.6184672","  0.06261953"
"17","LS","low","2","Cxcl1","   2.7466055","   1.9290253","   2.3378154","  0.40879007"
"18","S","low","2","Cxcl1","   1.0588967","   1.0956118","   1.0772542","  0.01835755"
"19","LS","low","2","Cxcl2","   3.9782873","   1.4223584","   2.7003228","  1.27796449"
"20","S","med","6","Cxcl2","   1.2046370","   1.3066812","   1.2556591","  0.05102210"
"21","LS","med","6","Cxcl2","   2.5158006","   2.4411582","   2.4784794","  0.03732117"
"22","LS","high","2","Cxcl2","  27.9621393","  32.8023721","  30.3822557","  2.42011640"
"23","S","high","6","Cxcl2","   0.6680424","   0.9010871","   0.7845648","  0.11652234"
"24","L","low","2","Cxcl2","   2.8762663","   2.5862760","   2.7312711","  0.14499515"
"25","L","med","2","Cxcl2","  10.9957891","   8.8273773","   9.9115832","  1.08420587"
"26","L","low","6","Cxcl2","   3.9178774","   1.4536416","   2.6857595","  1.23211792"
"27","L","high","2","Cxcl2","  22.1668397","  22.0232125","  22.0950261","  0.07181362"
"28","LS","med","2","Cxcl2","   8.6635353","   4.7917383","   6.7276368","  1.93589852"
"29","L","high","6","Cxcl2","   6.5750444","   8.2883405","   7.4316924","  0.85664805"
"30","S","high","2","Cxcl2","   0.7877368","   0.8162732","   0.8020050","  0.01426822"
"31","S","med","2","Cxcl2","   0.7474982","   0.7902749","   0.7688865","  0.02138833"
"32","LS","high","6","Cxcl2","   4.1058550","   3.4364110","   3.7711330","  0.33472199"
"33","LS","low","6","Cxcl2","   2.2307857","   1.7362648","   1.9835252","  0.24726048"
"34","S","low","2","Cxcl2","   1.6480377","   0.6886662","   1.1683520","  0.47968574"
"35","L","med","6","Cxcl2","   2.2684731","   3.0695517","   2.6690124","  0.40053928"
"36","S","low","6","Cxcl2","   1.4847036","   0.8249804","   1.1548420","  0.32986162"
"37","S","low","6","Il27","   2.7021985","   3.2155217","   2.9588601","  0.25666158"
"38","L","med","2","Il27","  14.2069645","  39.8475180","  27.0272412"," 12.82027675"
"39","LS","low","6","Il27","   3.1096426","   4.0497671","   3.5797048","  0.47006226"
"40","S","med","6","Il27","  17.2449478","  23.3967444","  20.3208461","  3.07589828"
"41","LS","low","2","Il27","   1.1513048","   1.5749033","   1.3631041","  0.21179925"
"42","L","high","2","Il27"," 103.3643448"," 115.3686257"," 109.3664853","  6.00214044"
"43","LS","med","2","Il27","  18.0570752","  12.9398325","  15.4984539","  2.55862137"
"44","L","low","6","Il27","   9.5461502","   5.9319413","   7.7390457","  1.80710447"
"45","L","low","2","Il27","   1.2267037","   3.5161524","   2.3714281","  1.14472433"
"46","L","med","6","Il27","  27.6198009","  24.1727346","  25.8962677","  1.72353315"
"47","LS","high","6","Il27"," 179.5870476"," 205.7730768"," 192.6800622"," 13.09301460"
"48","LS","med","6","Il27","  44.7910724","  60.2959262","  52.5434993","  7.75242688"
"49","S","low","2","Il27","   0.7469812","   1.5957317","   1.1713564","  0.42437525"
"50","L","high","6","Il27"," 111.0848671","  92.4861442"," 101.7855057","  9.29936143"
"51","S","med","2","Il27","   2.0795126","   2.2884148","   2.1839637","  0.10445111"
"52","S","high","2","Il27","  13.2855093","  10.4554479","  11.8704786","  1.41503068"
"53","S","high","6","Il27"," 134.6960963"," 210.7562686"," 172.7261825"," 38.03008616"
"54","LS","high","2","Il27"," 112.0319675"," 126.3342477"," 119.1831076","  7.15114007"
"55","LS","med","2","Il6"," 158.8810079"," 109.3245864"," 134.1027972"," 24.77821076"
"56","LS","high","6","Il6","1728.7017891","1982.3359685","1855.5188788","126.81708967"
"57","L","med","6","Il6"," 111.4306351"," 101.8694116"," 106.6500234","  4.78061176"
"58","LS","med","6","Il6"," 206.3595210"," 401.5025926"," 303.9310568"," 97.57153578"
"59","S","low","6","Il6","   1.6864693","   2.3020120","   1.9942406","  0.30777135"
"60","L","low","2","Il6","   3.8013041","  15.9794852","   9.8903946","  6.08909058"
"61","LS","high","2","Il6"," 736.8573898"," 750.9233323"," 743.8903611","  7.03297123"
"62","S","high","2","Il6","  50.6408743","  48.6816984","  49.6612864","  0.97958795"
"63","S","low","2","Il6","   1.3008254","   3.8220973","   2.5614614","  1.26063593"
"64","L","low","6","Il6","  12.6932835","   4.3113016","   8.5022925","  4.19099091"
"65","LS","low","6","Il6","   2.4408005","   3.8233183","   3.1320594","  0.69125887"
"66","S","med","6","Il6","   9.8428985","  12.2499330","  11.0464157","  1.20351728"
"67","L","med","2","Il6"," 139.5638764"," 337.2669682"," 238.4154223"," 98.85154590"
"68","S","high","6","Il6","  85.3959961"," 129.6163923"," 107.5061942"," 22.11019809"
"69","L","high","6","Il6","1391.8404783","1414.6742563","1403.2573673"," 11.41688904"
"70","L","high","2","Il6"," 804.4787816"," 838.9577526"," 821.7182671"," 17.23948549"
"71","S","med","2","Il6","   4.6901433","   6.1447567","   5.4174500","  0.72730670"
"72","LS","low","2","Il6","   3.9888693","   4.1879397","   4.0884045","  0.09953519"
