"","Bio_Rep","Target_oligo","Target","Oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"1","1","Empty_sh11","Empty","sh11","Myd88","23.44629","22.64115","23.04372","1.156509e-07","19.41871","3.625009","0.08105198","1.426873e-06","22.71200","0.3317221","1.455484e-07","3.945563","0.014539909","0.06490337","18.76643","0.6522762","2.242540e-06","shRNA"
"2","1","Myd88_sh21","Myd88","sh21","Myd88","23.94254","23.80516","23.87385","6.505107e-08","19.08791","4.785939","0.03624840","1.794592e-06","23.43874","0.4351074","8.794979e-08","4.526376","0.007849334","0.04339352","18.91237","0.1755449","2.026795e-06","shRNA"
"3","1","Myd88_sh22","Myd88","sh22","Myd88","32.82043","33.22272","33.02157","1.146874e-10","27.51504","5.506533","0.02199725","5.213715e-09","31.72191","1.2996646","2.823278e-10","5.439410","0.001072583","0.02304488","26.28250","1.2325411","1.225121e-08","shRNA"
"4","1","Scr_sh14","Scr","sh14","Myd88","22.65258","22.57831","22.61544","1.556230e-07","18.51633","4.099116","0.05835032","2.667046e-06","22.30249","0.3129554","1.933226e-07","3.694660","0.021936463","0.07723186","18.60783","0.0915000","2.503146e-06","shRNA"
"5","1","Scr_sh15","Scr","sh15","Myd88","22.85007","22.79776","22.82392","1.346842e-07","19.36681","3.457107","0.09105572","1.479140e-06","22.62851","0.1954040","1.542194e-07","3.634962","0.009948542","0.08049473","18.99355","0.3732594","1.915894e-06","shRNA"
"6","2","Empty_sh11","Empty","sh11","Myd88","22.51261","22.24794","22.38028","1.831748e-07","18.11416","4.266117","0.05197216","3.524479e-06","22.71200","0.3317221","1.455484e-07","3.945563","0.014539909","0.06490337","18.76643","0.6522762","2.242540e-06","shRNA"
"7","2","Myd88_sh21","Myd88","sh21","Myd88","22.88443","23.12284","23.00364","1.189091e-07","18.73682","4.266814","0.05194707","2.289044e-06","23.43874","0.4351074","8.794979e-08","4.526376","0.007849334","0.04339352","18.91237","0.1755449","2.026795e-06","shRNA"
"8","2","Myd88_sh22","Myd88","sh22","Myd88","30.32025","30.52424","30.42225","6.950110e-10","25.04996","5.372286","0.02414241","2.878797e-08","31.72191","1.2996646","2.823278e-10","5.439410","0.001072583","0.02304488","26.28250","1.2325411","1.225121e-08","shRNA"
"9","2","Scr_sh14","Scr","sh14","Myd88","21.81982","22.15924","21.98953","2.401550e-07","18.69933","3.290205","0.10222325","2.349319e-06","22.30249","0.3129554","1.933226e-07","3.694660","0.021936463","0.07723186","18.60783","0.0915000","2.503146e-06","shRNA"
"10","2","Scr_sh15","Scr","sh15","Myd88","22.38122","22.48500","22.43311","1.765881e-07","18.62029","3.812817","0.07115864","2.481612e-06","22.62851","0.1954040","1.542194e-07","3.634962","0.009948542","0.08049473","18.99355","0.3732594","1.915894e-06","shRNA"
